ID;BT1;BT2;BT3;BT4;BT5;SB BT;RV1;RV2;RV3;RV4;RV5;SB RV;FECHA
1839;3;6;23;25;38;1;12;19;20;33;39;12;01/12/2018
1840;1;14;15;18;25;13;2;30;32;35;36;12;05/12/2018
1841;14;20;24;25;39;7;1;15;24;29;33;13;08/12/2018
1842;4;17;36;37;43;11;7;22;25;32;33;10;12/12/2018
1843;4;13;25;31;33;5;1;8;10;12;40;16;15/12/2018
1844;15;27;28;41;42;4;2;32;34;41;43;10;19/12/2018
1845;3;7;11;39;41;2;1;40;41;42;43;8;22/12/2018
1846;9;13;31;33;41;3;3;23;30;32;40;10;26/12/2018
1847;10;14;29;30;42;2;2;6;22;28;34;9;29/12/2018
1848;9;14;25;26;37;7;1;9;17;33;42;10;02/01/2019
1849;10;14;19;39;41;1;10;13;21;34;43;11;05/01/2019
1850;5;20;27;30;38;16;1;4;8;14;41;3;09/01/2019
1851;2;19;22;28;32;11;21;31;33;35;41;9;12/01/2019
1852;6;13;15;26;31;3;12;17;27;29;32;8;16/01/2019
1853;8;15;28;38;42;7;8;18;19;32;42;15;19/01/2019
1854;7;9;16;24;31;3;8;12;29;30;31;1;23/01/2019
1855;3;7;11;19;25;3;5;20;26;34;37;7;26/01/2019
1856;16;18;19;21;38;7;9;10;13;14;37;10;30/01/2019
1857;16;17;21;22;43;3;20;22;23;26;28;10;02/02/2019
1858;1;10;23;38;43;7;16;17;31;36;38;4;06/02/2019
1859;3;5;30;37;39;12;11;13;18;21;37;1;09/02/2019
1860;1;5;6;8;27;14;5;17;27;29;30;3;13/02/2019
1861;19;25;28;31;40;11;6;13;14;30;34;5;16/02/2019
1862;3;10;32;40;42;15;2;19;25;26;28;12;20/02/2019
1863;3;7;14;19;22;4;3;5;7;13;16;13;23/02/2019
1864;6;10;12;18;39;7;3;20;24;27;28;9;27/02/2019
1865;6;22;25;28;40;5;10;14;29;35;37;1;02/03/2019
1866;2;4;12;18;35;7;7;11;17;18;43;5;06/03/2019
1867;24;29;34;35;40;13;1;8;12;14;30;7;09/03/2019
1868;6;8;13;14;37;6;1;8;10;15;40;2;13/03/2019
1869;5;16;26;32;36;3;1;14;31;34;42;14;16/03/2019
1870;6;22;33;36;41;13;17;26;30;37;40;13;20/03/2019
1871;18;20;21;35;43;5;6;24;27;32;39;2;23/03/2019
1872;3;15;20;23;25;11;3;9;15;29;41;2;27/03/2019
1873;6;17;24;39;43;16;2;9;18;31;42;13;30/03/2019
1874;3;4;22;40;41;14;3;20;22;33;35;9;03/04/2019
1875;20;29;32;34;37;6;7;13;28;34;40;15;06/04/2019
1876;15;18;24;34;39;4;5;7;8;14;28;9;10/04/2019
1877;6;7;8;27;34;14;4;18;22;34;41;10;13/04/2019
1878;3;4;31;34;43;14;2;9;15;30;32;8;17/04/2019
1879;10;17;24;29;43;14;1;12;13;19;27;4;20/04/2019
1880;4;8;32;34;40;4;12;13;14;31;35;9;24/04/2019
1881;1;13;32;37;43;10;2;15;30;37;38;13;27/04/2019
1882;1;4;8;19;27;5;9;15;24;31;36;3;01/05/2019
1883;4;11;12;16;26;2;9;11;31;35;36;10;04/05/2019
1884;1;4;21;30;43;15;11;15;23;26;39;3;08/05/2019
1885;3;11;27;39;41;4;13;19;28;39;42;15;11/05/2019
1886;3;17;25;39;42;4;14;22;23;31;38;9;15/05/2019
1887;3;4;20;25;37;12;13;26;33;35;40;13;18/05/2019
1888;9;16;20;28;37;5;3;18;24;34;36;4;22/05/2019
1889;2;10;14;34;40;14;4;6;20;27;35;13;25/05/2019
1890;1;2;22;29;42;16;6;20;22;30;34;5;29/05/2019
1891;1;3;17;23;32;16;7;17;18;24;28;4;01/06/2019
1892;1;4;8;22;37;13;13;16;17;22;25;1;05/06/2019
1893;10;25;29;35;37;5;3;29;30;36;37;3;08/06/2019
1894;3;8;25;28;40;2;1;5;8;20;29;13;12/06/2019
1895;10;14;27;35;41;12;2;3;12;29;31;3;15/06/2019
1896;4;10;20;32;33;15;9;10;26;30;36;10;19/06/2019
1897;15;16;24;26;32;10;2;5;12;38;40;7;22/06/2019
1898;6;12;15;26;35;7;18;31;33;34;42;8;26/06/2019
1899;2;12;16;26;30;2;8;26;31;38;39;11;29/06/2019
1900;1;2;3;10;31;1;3;4;22;38;43;12;03/07/2019
1901;1;8;21;34;35;10;15;20;25;35;43;9;06/07/2019
1902;9;12;31;33;43;11;2;4;19;27;34;3;10/07/2019
1903;2;18;29;37;39;13;3;20;28;37;39;4;13/07/2019
1904;6;12;14;15;38;10;7;9;11;13;38;15;17/07/2019
1905;10;11;15;31;38;5;5;19;20;22;34;11;20/07/2019
1906;3;12;24;25;26;12;6;10;14;21;26;15;24/07/2019
1907;9;13;18;19;33;9;5;16;18;25;30;1;27/07/2019
1908;10;20;25;28;30;3;2;3;10;24;28;11;31/07/2019
1909;2;11;33;36;38;11;4;11;24;26;27;5;03/08/2019
1910;6;27;32;40;42;1;4;25;31;38;43;12;07/08/2019
1911;6;29;34;41;42;16;15;29;32;40;43;16;10/08/2019
1912;7;22;25;36;37;3;7;15;22;23;42;2;14/08/2019
1913;10;12;25;27;41;3;7;15;27;32;40;5;17/08/2019
1914;6;8;13;28;29;8;8;14;28;36;43;13;21/08/2019
1915;4;8;12;17;35;12;17;24;25;40;42;4;24/08/2019
1916;11;18;29;35;37;6;3;15;26;31;34;3;28/08/2019
1917;17;18;33;41;42;8;8;15;21;27;32;3;31/08/2019
1918;2;11;18;23;43;14;2;7;16;26;41;2;04/09/2019
1919;11;14;20;30;34;7;4;7;11;39;43;6;07/09/2019
1920;6;19;23;25;41;7;10;18;23;29;41;7;11/09/2019
1921;1;19;31;37;39;11;1;2;5;21;35;12;14/09/2019
1922;18;23;28;33;35;12;14;20;23;33;38;10;18/09/2019
1923;21;23;26;37;43;11;2;25;26;28;35;1;21/09/2019
1924;4;11;14;16;36;15;9;10;14;41;42;11;25/09/2019
1925;1;9;27;29;35;13;1;7;19;22;34;3;28/09/2019
1926;3;10;20;30;39;11;4;8;14;29;41;10;02/10/2019
1927;19;23;26;30;36;11;3;4;7;13;24;14;05/10/2019
1928;4;9;10;35;40;11;2;7;26;32;33;12;09/10/2019
1929;2;8;9;12;39;13;7;9;10;22;39;8;12/10/2019
1930;5;13;14;26;31;15;3;20;24;37;38;11;16/10/2019
1931;4;8;19;20;35;9;4;9;10;17;25;6;19/10/2019
1932;12;19;20;29;43;1;1;12;23;29;38;9;23/10/2019
1933;2;11;24;28;39;3;1;19;31;36;41;15;26/10/2019
1934;3;10;16;25;41;8;7;18;21;23;28;13;30/10/2019
1935;2;3;4;12;16;10;11;19;20;27;28;4;02/11/2019
1936;7;16;19;20;37;2;11;18;30;40;42;10;06/11/2019
1937;2;10;16;23;25;11;4;8;10;26;32;3;09/11/2019
1938;8;11;13;18;27;12;8;14;20;23;28;7;13/11/2019
1939;3;7;23;30;35;5;6;21;23;31;32;15;16/11/2019
1940;2;14;16;17;31;2;1;10;15;20;28;15;20/11/2019
1941;17;18;20;27;29;11;2;5;13;27;41;7;23/11/2019
1942;11;19;29;36;40;7;8;18;22;23;28;11;27/11/2019
1943;2;3;18;21;36;13;8;22;24;25;40;12;30/11/2019
1944;10;15;16;29;39;16;2;4;18;28;33;11;04/12/2019
1945;12;15;16;38;39;10;2;10;36;37;40;15;07/12/2019
1946;4;13;24;39;41;1;8;15;26;32;37;3;11/12/2019
1947;11;21;33;39;43;8;1;8;9;22;23;7;14/12/2019
1948;8;19;22;25;38;2;6;7;15;38;40;16;18/12/2019
1949;8;14;17;23;37;13;13;21;22;24;32;16;21/12/2019
